,tic,time_period_in_months,model,total return,idle return
292,RELIANCE.NS,24,sac,560717.54,976838.3999999999
293,SBIN.NS,1,sac,-60283.79000000002,7083.65
294,SBIN.NS,3,sac,149436.31999999995,13428.45
295,SBIN.NS,6,sac,149436.31999999995,13428.45
296,SBIN.NS,12,sac,149436.31999999995,13428.45
297,SBIN.NS,18,sac,149436.31999999995,13428.45
298,SBIN.NS,24,sac,149436.31999999995,13428.45
299,SHREECEM.NS,1,sac,2646565.5500000003,2084270.4000000001
300,SHREECEM.NS,3,sac,3051648.8400000003,2519000.5500000003
301,SHREECEM.NS,6,sac,3649307.44,3011874.85
302,SHREECEM.NS,12,sac,4421394.14,3648595.6999999997
303,SHREECEM.NS,18,sac,4052356.24,3344259.25
304,SHREECEM.NS,24,sac,3914156.64,3230289.4499999997
305,SUNPHARMA.NS,1,sac,14955.380000000001,2498.5
306,SUNPHARMA.NS,3,sac,20546.85,11641.449999999999
307,SUNPHARMA.NS,6,sac,61129.08000000001,58695.00000000001
308,SUNPHARMA.NS,12,sac,73568.42,74457.59999999999
309,SUNPHARMA.NS,18,sac,466630.44000000006,86441.59999999999
310,SUNPHARMA.NS,24,sac,464315.04000000004,102099.2
311,TATACONSUM.NS,1,sac,50895.61000000001,47085.5
312,TATACONSUM.NS,3,sac,40164.98,74984.25
313,TATACONSUM.NS,6,sac,28733.1,78865.7
314,TATACONSUM.NS,12,sac,28203.800000000003,112882.40000000001
315,TATACONSUM.NS,18,sac,28203.8,108285.75
316,TATACONSUM.NS,24,sac,28203.800000000003,122522.7
317,TATAMOTORS.NS,1,sac,17256.08,11511.5
318,TATAMOTORS.NS,3,sac,-264407.83999999997,19359.899999999998
319,TATAMOTORS.NS,6,sac,-65196.34999999987,19624.5
320,TATAMOTORS.NS,12,sac,-65196.34999999987,19624.5
321,TATAMOTORS.NS,18,sac,-65196.34999999987,19624.5
322,TATAMOTORS.NS,24,sac,-65196.34999999987,19624.5
323,TATASTEEL.NS,1,sac,7661.38,13553.1
324,TATASTEEL.NS,3,sac,12915.08,19982.7
325,TATASTEEL.NS,6,sac,34115.59,55673.2
326,TATASTEEL.NS,12,sac,62875.99,102542.0
327,TATASTEEL.NS,18,sac,60845.590000000004,99233.20000000001
328,TATASTEEL.NS,24,sac,72263.89,117840.79999999999
329,TCS.NS,1,sac,166357.62999999998,140220.8
330,TCS.NS,3,sac,183982.47,159257.6
331,TCS.NS,6,sac,216616.47,187481.6
332,TCS.NS,12,sac,250020.07,216371.2
333,TCS.NS,18,sac,921000.62,244982.4
334,TCS.NS,24,sac,913344.9199999999,233977.6
335,TECHM.NS,1,sac,59243.52,49760.45
336,TECHM.NS,3,sac,97467.86,94482.45
337,TECHM.NS,6,sac,123033.11,121228.8
338,TECHM.NS,12,sac,141545.11,139456.0
339,TECHM.NS,18,sac,218804.11,215526.4
340,TECHM.NS,24,sac,174701.61,172102.4
341,TITAN.NS,1,sac,139694.92,105368.25
342,TITAN.NS,3,sac,79127.09,161087.4
343,TITAN.NS,6,sac,759504.16,177806.1
344,TITAN.NS,12,sac,759504.16,177806.1
345,TITAN.NS,18,sac,756927.26,342916.2
346,TITAN.NS,24,sac,756927.26,348884.7
347,ULTRACEMCO.NS,1,sac,538941.42,432316.5
348,ULTRACEMCO.NS,3,sac,580223.2,572756.1
349,ULTRACEMCO.NS,6,sac,719229.2,725043.1499999999
350,ULTRACEMCO.NS,12,sac,968548.2,976143.0
351,ULTRACEMCO.NS,18,sac,1027012.2,1035024.6000000001
352,ULTRACEMCO.NS,24,sac,928872.2,936183.6000000001
353,UPL.NS,1,sac,89247.01999999999,28210.85
354,UPL.NS,3,sac,458403.62,48431.0
355,UPL.NS,6,sac,440508.4399999999,44916.0
356,UPL.NS,12,sac,441643.32999999996,79709.84999999999
357,UPL.NS,18,sac,5156.059999999974,84100.7
358,UPL.NS,24,sac,2398.6599999999744,98228.3
359,WIPRO.NS,1,sac,10102.13,12361.8
360,WIPRO.NS,3,sac,61618.29,80055.5
361,WIPRO.NS,6,sac,165269.5,241992.8
362,WIPRO.NS,12,sac,1347655.9500000002,651525.0
363,WIPRO.NS,18,sac,1839308.1800000002,1621774.25
364,WIPRO.NS,24,sac,2343287.7100000004,1317954.2
365,AXISBANK.NS,1,td3,53044.64,47913.149999999994
366,AXISBANK.NS,3,td3,138161.56,135738.30000000002
367,AXISBANK.NS,6,td3,382024.57999999996,428649.1
368,AXISBANK.NS,12,td3,474778.48000000004,534467.7000000001
369,AXISBANK.NS,18,td3,423267.27999999997,476517.6
370,AXISBANK.NS,24,td3,498178.48000000004,560792.7000000001
371,BAJAJ-AUTO.NS,1,td3,414357.72,342564.3
372,BAJAJ-AUTO.NS,3,td3,984221.47,947482.5
373,BAJAJ-AUTO.NS,6,td3,2166491.03,2216140.3
374,BAJAJ-AUTO.NS,12,td3,2679482.6499999994,2744282.0999999996
375,BAJAJ-AUTO.NS,18,td3,2026392.7,2075861.4
376,BAJAJ-AUTO.NS,24,td3,2371772.1999999997,2429348.4
377,BAJAJFINSV.NS,1,td3,787452.1699999999,701266.7
378,BAJAJFINSV.NS,3,td3,1878648.32,1804146.9
379,BAJAJFINSV.NS,6,td3,3676470.36,3651990.3
380,BAJAJFINSV.NS,12,td3,5104514.3100000005,5069559.600000001
381,BAJAJFINSV.NS,18,td3,6610984.01,6564979.399999999
382,BAJAJFINSV.NS,24,td3,6470840.16,6425863.5
383,CIPLA.NS,1,td3,104349.42,82817.25
384,CIPLA.NS,3,td3,259742.30000000002,266060.15
385,CIPLA.NS,6,td3,494353.86999999994,550389.45
386,CIPLA.NS,12,td3,572884.89,638385.7000000001
387,CIPLA.NS,18,td3,544522.24,606803.25
388,CIPLA.NS,24,td3,615264.1399999999,685575.95
389,DRREDDY.NS,1,td3,659627.2100000001,515399.7
390,DRREDDY.NS,3,td3,1681580.68,1677786.0
391,DRREDDY.NS,6,td3,1720506.28,1716594.0
392,DRREDDY.NS,12,td3,1756088.78,1752069.0
393,DRREDDY.NS,18,td3,1552689.28,1549284.0
394,DRREDDY.NS,24,td3,1417028.93,1414033.5
395,HEROMOTOCO.NS,1,td3,320879.91,313150.5
396,HEROMOTOCO.NS,3,td3,967518.72,1047733.4999999999
397,HEROMOTOCO.NS,6,td3,982464.59,1069662.2
398,HEROMOTOCO.NS,12,td3,936719.9899999999,1019902.3999999999
399,HEROMOTOCO.NS,18,td3,762386.4899999999,830266.8999999999
400,HEROMOTOCO.NS,24,td3,728157.7899999999,793033.8
401,HINDALCO.NS,3,td3,1748.35,1940.4
402,HINDALCO.NS,6,td3,44329.06,62374.0
403,HINDALCO.NS,12,td3,70240.39,99237.59999999999
404,HINDALCO.NS,18,td3,86210.19,121783.2
405,HINDALCO.NS,24,td3,101927.54,143972.4
406,HINDUNILVR.NS,1,td3,366598.19,249718.7
407,HINDUNILVR.NS,3,td3,713008.64,603860.4
408,HINDUNILVR.NS,6,td3,837859.34,709503.3
409,HINDUNILVR.NS,12,td3,858831.59,727249.05
410,HINDUNILVR.NS,18,td3,806883.59,683293.05
411,HINDUNILVR.NS,24,td3,763710.59,646762.05
412,INFY.NS,1,td3,115824.9,125580.0
413,INFY.NS,3,td3,307472.75,375348.0
414,INFY.NS,6,td3,386693.27999999997,475034.89999999997
415,INFY.NS,12,td3,490870.08,602918.6
416,INFY.NS,18,td3,579290.88,711460.7999999999
417,INFY.NS,24,td3,505596.48000000004,620996.2000000001
418,KOTAKBANK.NS,1,td3,196519.61,148866.75
419,KOTAKBANK.NS,3,td3,415211.23,370132.25
420,KOTAKBANK.NS,6,td3,653950.08,582747.7000000001
421,KOTAKBANK.NS,12,td3,570416.98,508355.0
422,KOTAKBANK.NS,18,td3,583774.38,520250.8
423,KOTAKBANK.NS,24,td3,575483.58,512867.2
424,MARUTI.NS,1,td3,832282.9,713953.5
425,MARUTI.NS,3,td3,2220959.88,2245335.75
426,MARUTI.NS,6,td3,2942495.42,2491839.0
427,MARUTI.NS,12,td3,2942495.42,2491839.0
428,MARUTI.NS,18,td3,2942495.42,2491839.0
429,MARUTI.NS,24,td3,2942495.42,2491839.0
430,NTPC.NS,6,td3,4914.33,4721.150000000001
431,NTPC.NS,12,td3,5794.68,5570.4
432,NTPC.NS,18,td3,6219.68,5978.4
433,NTPC.NS,24,td3,8152.179999999999,7833.599999999999
434,ONGC.NS,1,td3,13145.609999999999,8534.699999999999
435,ONGC.NS,3,td3,25768.49,21021.600000000002
436,ONGC.NS,6,td3,62611.15,55060.6
437,ONGC.NS,12,td3,81317.98,71693.7
438,ONGC.NS,18,td3,94508.78,83316.5
439,ONGC.NS,24,td3,118265.68000000001,104249.40000000001
440,RELIANCE.NS,1,td3,322253.43,254253.3
441,RELIANCE.NS,3,td3,764948.4700000001,792502.65
442,RELIANCE.NS,6,td3,682511.72,707164.9
443,RELIANCE.NS,12,td3,717003.87,742870.85
444,RELIANCE.NS,18,td3,805936.67,834933.25
445,RELIANCE.NS,24,td3,866839.27,897979.0499999999
446,SBIN.NS,1,td3,30228.18,21633.85
447,SBIN.NS,3,td3,63414.270000000004,57920.65
448,SBIN.NS,6,td3,94335.71999999999,86137.59999999999
449,SBIN.NS,12,td3,147020.52,134214.4
450,SBIN.NS,18,td3,158339.52,144543.4
451,SBIN.NS,24,td3,174700.62,159473.5
452,SUNPHARMA.NS,1,td3,81296.39,60613.8
453,SUNPHARMA.NS,3,td3,170928.49,162474.15
454,SUNPHARMA.NS,6,td3,198238.89,188410.95
455,SUNPHARMA.NS,12,td3,227070.29,215792.25
456,SUNPHARMA.NS,18,td3,267697.89,254376.45
457,SUNPHARMA.NS,24,td3,313344.79,297727.5
